Artist_id,Total_members
2,3
3,7
7,4
9,5
14,8
15,4
23,6
27,3
30,6
33,4
39,6
40,7
48,7
61,2
80,2
87,7
97,3
101,5
102,6
114,5
129,4
132,5
148,3
157,5
159,4
163,5
164,4
172,8
178,6
181,4
182,2
188,7
190,3
193,7
205,6
206,4
208,3
209,6
218,8
222,8
230,2
233,8
235,5
238,8
240,5
241,3
242,6
245,8
249,2
250,8
261,7
263,4
264,6
272,6
277,2
279,6
281,3
282,4
284,8
285,6
287,8
291,3
293,3
298,2
299,4
301,4
309,4
318,5
323,5
327,4
329,4
331,5
336,8
348,6
351,7
373,5
379,3
380,8
383,6
387,7
397,6
398,8
402,3
404,2
410,4
414,5
419,4
422,2
425,3
436,8
437,8
439,7
443,2
445,6
448,2
450,3
457,6
459,5
470,2
473,8
474,8
492,6
496,3
498,6
511,6
512,5
516,6
522,7
523,4
526,5
536,5
537,7
542,4
543,4
547,6
551,7
567,6
572,5
575,8
586,6
604,4
605,7
607,6
611,2
618,3
626,5
627,4
634,2
635,8
637,8
645,4
647,4
648,4
652,7
653,5
654,2
656,5
662,3
666,4
667,7
670,5
675,4
677,7
682,8
696,6
701,6
713,5
721,6
726,5
732,5
735,8
752,8
762,6
768,5
778,2
779,3
780,7
785,3
786,5
788,4
792,3
797,2
808,8
815,4
816,6
818,7
824,7
834,3
837,5
840,6
859,7
861,6
863,7
865,8
868,5
871,3
874,2
876,2
877,8
878,6
882,4
892,3
897,2
899,8
900,8
903,4
912,6
913,8
914,3
921,6
933,2
934,2
938,6
939,7
943,4
948,4
954,3
961,3
963,5
964,7
969,3
970,2
975,7
978,8
980,4
981,5
987,8
996,4
1000,2
1001,2
1003,6
1009,8
1011,8
1013,2
1016,3
1017,3
1019,7
1021,6
1023,5
1024,4
1029,5
1030,6
1044,3
1062,5
1069,3
1070,7
1073,7
1077,2
1079,5
1082,7
1084,7
1085,2
1086,6
1087,3
1088,5
1093,2
1094,6
1097,8
1106,3
1113,3
1116,2
1125,2
1134,6
1136,8
1139,7
1140,7
1141,5
1142,6
1144,3
1155,3
