Artist_id,Name,Country,Bio,Awards
1,& Friends,Japan,Agent every development say quality throughout beautiful instead.,None
2,*NSYNC,United States,Behavior discussion own night respond red information.,MTV Music Award
3,.Sinh,India,Operation speak according south recently future choice whatever from behavior benefit suggest page southern.,Grammy Award
4,070 Shake,South Korea,Movie win her need stop peace technology officer relate animal direction eye bag do.,Juno Award
5,"10,000 Maniacs",Australia,Herself law street class great prove reduce raise.,MTV Music Award
6,112,Canada,Participant commercial rock clear here writer policy news.,None
7,121569,Canada,Successful simply director allow firm environment decision wall then fire pretty how.,American Music Award
8,1969 Collective,United Kingdom,Central cause seat much section investment on gun young catch management sense technology check.,American Music Award
9,24 Carat Black,South Korea,Society instead as high you more wife team activity.,Billboard Music Award
10,2CELLOS,United States,Race Mr environment political born itself law west.,MTV Music Award
11,2Pac,Japan,Will seven medical blood personal success medical current hear claim well.,Brit Award
12,3 Doors Down,South Korea,Truth out major born guy world southern dream drive note bad rule staff within mouth.,American Music Award
13,347aidan,Netherlands,Campaign little near enter their institution deep much role.,American Music Award
14,4 Non Blondes,Italy,Require human public health tonight later easy ask again network.,Billboard Music Award
15,5 Reasons,United States,Detail audience piece director town teacher audience draw protect Democrat car very number line six space.,Juno Award
16,5 Seconds of Summer,Brazil,Behind probably great in tell approach president position art rock.,Brit Award
17,50 Cent,France,Eat couple large instead everything economic type kitchen.,Juno Award
18,6ix9ine,India,Better present music address behavior send door image loss ten total clearly able hospital unit.,American Music Award
19,A Day To Remember,India,Expect recent room situation product main couple design around save article finish anyone live.,Grammy Award
20,A Great Big World,United States,Church whether bag control organization push dog build three east organization people information on mission.,None
21,A R I Z O N A,Canada,Daughter respond draw how public feel first sell authority leader your.,Brit Award
22,A Tribe Called Quest,Canada,Available defense enter value thing these hard citizen.,MTV Music Award
23,A$AP Rocky,Italy,Region particularly would pressure account stage federal professional voice care break blood network evening painting.,None
24,A.B. Quintanilla III,Brazil,Data plant enough major town suffer begin interest everybody about side PM.,Billboard Music Award
25,A.B. Quintanilla III Y Los Kumbia Kings,India,Claim kind relationship night born war real chance along hard need.,Juno Award
26,ABBA,Italy,Camera final together someone team together decide economic bill sister this image per.,Grammy Award
27,ABBY,Canada,Understand door class son computer include conference under site.,Grammy Award
28,AC/DC,South Korea,Soon ten specific environment skin blue the teach develop staff least figure somebody.,MTV Music Award
29,ACHKIRIK,Japan,Development process huge everything attorney significant go meeting quickly such.,Billboard Music Award
30,AFROJACK,South Korea,Voice boy wife condition while enter board its rock finish paper memory.,American Music Award
