Payment_id,Subscription_id,Payment_date,Payment_method,Amount,Status
1,1,2025-05-16,Debit Card,349,Success
2,1,2025-08-14,Credit Card,329,Success
3,2,2024-09-19,UPI,349,Success
4,2,2024-12-18,Net Banking,329,Success
5,2,2025-03-18,UPI,349,Success
6,3,2024-11-16,UPI,129,Failed
7,3,2024-12-16,Debit Card,119,Success
8,3,2025-01-15,Credit Card,119,Success
9,3,2025-02-14,Debit Card,99,Success
10,3,2025-03-16,UPI,129,Success
11,3,2025-04-15,UPI,129,Success
12,3,2025-05-15,Credit Card,99,Success
13,4,2024-06-08,Debit Card,119,Failed
14,4,2024-07-08,Credit Card,99,Success
15,4,2024-08-07,Net Banking,129,Success
16,4,2024-09-06,Credit Card,119,Failed
17,4,2024-10-06,Debit Card,129,Success
18,4,2024-11-05,Debit Card,99,Success
19,4,2024-12-05,UPI,129,Success
20,4,2025-01-04,UPI,99,Failed
21,4,2025-02-03,Net Banking,99,Success
22,4,2025-03-05,Debit Card,119,Success
23,4,2025-04-04,Net Banking,129,Success
24,4,2025-05-04,Credit Card,119,Success
25,4,2025-06-03,Debit Card,129,Success
26,5,2023-10-31,Debit Card,329,Failed
27,5,2024-01-29,Credit Card,299,Success
28,6,2024-04-07,Net Banking,99,Success
29,6,2024-05-07,Debit Card,99,Success
30,6,2024-06-06,UPI,119,Failed
31,6,2024-07-06,Debit Card,129,Success
32,6,2024-08-05,Credit Card,99,Failed
33,6,2024-09-04,UPI,119,Success
34,6,2024-10-04,Debit Card,129,Success
35,7,2024-03-28,Credit Card,999,Failed
36,7,2025-03-28,Debit Card,1299,Failed
37,8,2024-04-06,UPI,1299,Success
38,8,2025-04-06,Credit Card,1299,Failed
39,9,2026-08-03,UPI,999,Failed
40,10,2024-08-19,Credit Card,129,Success
41,10,2024-09-18,Debit Card,119,Success
42,11,2024-11-02,Debit Card,329,Success
43,12,2026-04-22,Debit Card,329,Success
44,12,2026-07-21,Credit Card,299,Success
45,12,2026-10-19,UPI,349,Success
46,13,2026-03-14,Credit Card,99,Failed
47,13,2026-04-13,Debit Card,119,Failed
48,13,2026-05-13,Debit Card,99,Success
49,13,2026-06-12,Debit Card,119,Failed
