Playlist_id,Song_id
89,1618
362,15548
450,7030
181,10252
269,16488
207,1795
26,12071
22,3964
496,11468
180,15140
389,1664
24,977
72,3906
237,10426
176,5986
342,15552
494,7278
60,5774
216,1857
257,3844
281,2740
104,569
146,1734
261,3670
277,12016
494,4137
444,1576
409,1326
13,572
369,8572
447,7216
332,4260
460,15557
376,102
229,6993
380,6637
86,8405
491,11837
17,16384
214,2174
146,7345
382,2926
328,3858
336,1992
387,2223
206,4097
168,1132
29,14529
67,10620
30,15656
448,4569
403,5321
371,4322
410,11861
175,6073
445,12084
31,201
293,14430
109,5490
196,12319
454,1997
221,11329
255,12899
436,4572
72,13155
450,16521
209,11211
185,6387
77,209
52,15428
351,13775
339,1606
93,3307
393,14122
418,12903
130,8006
4,16003
63,368
68,8848
410,12224
21,6558
74,5401
187,1077
28,6682
260,7971
243,2140
229,4457
440,6626
491,7086
422,836
208,4519
130,13496
488,4573
468,15477
93,14516
358,9603
112,13977
491,3945
61,2671
338,4642
49,338
198,6059
487,1732
333,9896
421,5579
129,11298
274,4068
368,15781
406,5419
228,14165
277,5655
269,13644
214,6538
225,8390
435,7705
222,4793
232,11668
154,12243
450,2442
429,1107
40,9633
413,14345
356,15531
423,6890
94,16285
271,2103
262,7467
306,12906
347,12944
339,22
402,8938
302,7014
285,5384
13,532
353,7999
115,250
386,713
382,13840
127,13550
94,6957
262,12728
138,8232
241,9636
471,10098
442,995
67,10917
184,10041
311,15478
194,4047
27,12686
166,7368
206,2071
157,5333
360,15720
87,780
241,11046
134,8476
34,6323
273,12984
257,10007
98,15841
257,1376
1,4833
293,511
146,14084
385,9899
250,16356
171,4463
351,5562
249,15902
153,1147
51,4775
2,8562
416,14029
57,4068
231,6584
153,11067
43,6240
8,5465
456,636
257,11538
366,15911
215,5650
41,5763
22,7470
131,5427
373,7175
52,8517
103,10963
436,10843
63,1738
189,14120
442,3720
323,5718
56,3913
223,3043
368,7339
464,12002
410,10682
129,10211
433,7175
158,10848
335,13662
283,8813
131,11159
492,13353
440,4037
205,15282
458,8521
394,4564
77,8829
434,2687
31,14082
37,13833
331,5154
496,2518
122,10413
297,15635
300,15640
199,6203
167,15525
32,842
321,12959
92,829
364,7438
461,15184
351,4207
124,2996
41,13844
478,12384
238,11914
291,9525
32,8776
58,1366
470,12156
363,16231
35,2136
52,5752
208,6265
114,14214
306,10183
216,13444
350,7782
124,9425
146,9938
323,14738
106,12754
252,9839
110,12873
269,3363
86,16488
88,319
208,11755
428,5342
195,1613
27,9842
135,4716
200,910
394,1678
414,3579
161,3133
457,1963
348,9375
178,2319
491,6980
198,6169
373,12586
475,3710
256,12711
106,5533
107,8387
343,2773
279,3017
468,5922
396,11644
294,9152
282,13235
17,15152
456,704
185,12484
171,10371
28,5892
218,768
38,7748
2,7825
426,9321
285,5144
219,589
201,1740
182,414
85,15528
105,10030
224,3565
232,945
158,2164
378,4382
449,14879
60,4221
361,7367
151,2124
352,1885
288,180
339,13206
75,11147
247,5252
369,8884
484,6885
284,12718
308,10860
267,6658
251,8111
391,7596
95,8537
427,7024
406,7904
361,6441
206,5335
376,6012
288,12315
159,7475
491,5733
455,3861
473,11048
105,13547
255,2460
362,7955
158,5681
454,4511
486,262
54,2591
160,5461
320,14495
323,11760
380,13499
314,9432
417,3932
76,16205
234,8951
20,12109
488,12214
416,8662
113,4460
302,8560
386,14152
495,16539
327,8095
232,7040
252,14337
315,12178
160,11072
307,15966
195,15910
129,8911
89,12710
147,16098
488,1610
107,871
398,13357
145,10962
124,14286
196,11947
499,5532
442,2783
175,14224
348,16101
267,4135
239,12667
191,7523
402,14351
261,6010
118,1760
162,13881
498,998
379,1572
17,4374
45,5604
125,5075
293,11038
170,3276
305,5127
286,6834
167,4668
401,405
480,3438
43,4632
20,2699
151,5333
22,493
43,15599
423,4974
428,7304
334,6888
368,8872
3,10171
26,1029
481,14899
233,11801
164,11701
408,13495
340,788
408,3817
359,10048
235,13688
400,9591
3,13567
78,15138
237,4874
145,5285
349,8956
454,4579
173,12931
412,12166
59,14788
298,13047
125,12109
440,4765
133,11933
290,3020
73,5237
28,3774
141,9313
442,15428
141,12467
131,11779
82,13809
462,13047
472,13506
276,15028
406,7638
51,11382
13,8912
397,2193
430,14384
440,12591
212,6991
465,11372
363,2959
255,7334
349,10150
89,5086
480,8620
106,14529
439,15907
36,8054
338,12593
429,14172
181,9640
141,1876
397,2327
455,10145
78,14588
137,4322
255,10730
62,13718
252,781
354,10857
78,15877
111,2993
419,894
437,5378
301,6537
414,4199
60,8545
337,4918
488,7531
453,1831
217,4035
191,12384
344,8425
263,2057
185,15198
350,13316
88,6671
38,12677
444,15085
28,3358
308,12043
482,6975
234,9879
223,15840
108,9474
400,8828
431,14328
450,6205
252,5695
388,897
221,13966
189,687
343,11219
243,16199
317,5568
71,2129
64,3136
246,11515
31,9146
363,3469
172,2440
466,10242
293,5066
39,460
114,6003
295,8495
49,626
427,3201
457,9725
307,10720
68,3793
12,12758
353,8621
220,15676
386,1335
329,2787
342,9142
421,14390
443,11934
268,2511
417,12699
35,12368
96,11072
261,9153
228,15163
445,7284
350,2028
241,9440
255,973
390,10731
176,865
331,2688
26,8239
332,5542
90,4962
293,7765
482,7701
201,12643
199,15751
8,14234
343,2146
281,10801
136,15816
497,2963
153,4092
450,14407
65,1239
280,3379
409,1574
425,10334
273,2063
4,12492
396,16399
355,12197
174,8069
303,3231
159,5438
362,5797
181,11118
119,1609
476,6313
190,1260
102,1376
17,11397
177,13335
280,3634
171,15476
58,2538
176,11161
43,13749
55,12820
394,3884
500,11221
57,15081
484,3814
143,9900
62,4579
442,15188
196,9763
93,9261
99,12984
32,6807
202,9433
412,11000
431,2611
126,8391
494,681
337,209
379,10005
470,738
301,8136
170,6340
152,15102
327,11427
128,11483
228,2265
73,3145
154,1269
493,735
2,14232
449,15446
356,14464
378,10547
268,9921
6,9921
369,10727
482,9850
141,926
335,5895
18,8928
98,11846
385,13825
170,7521
371,3081
158,5188
42,16088
235,13248
14,9344
446,2622
215,15521
203,5833
454,13817
133,14405
128,7645
378,16158
354,4201
280,2037
450,233
434,1686
366,8870
278,8757
490,2749
119,14362
295,6482
432,6191
272,2563
393,6236
133,9049
269,8644
65,12032
400,6360
95,14126
489,6883
125,16220
307,2641
365,6258
475,2225
454,5549
270,4974
311,8947
187,1004
242,4912
68,14144
238,3221
342,3278
258,426
371,2518
279,15761
117,14945
363,7767
280,14414
210,14843
90,8776
324,10700
400,896
365,14902
410,3533
481,7385
198,5047
53,9833
228,12803
157,16306
260,4878
174,2660
196,9589
219,5520
38,11632
182,4177
132,384
47,9321
84,5453
342,9131
149,5289
472,12624
320,10540
373,11598
268,7640
233,9080
240,7807
9,14327
166,3428
448,2323
40,3023
346,4527
367,12988
66,9613
140,6529
231,10094
31,3324
211,12825
97,13248
343,6336
19,9622
50,4542
406,7587
337,11136
36,15345
44,4848
31,16169
223,1292
224,13302
97,4859
299,16105
405,12825
134,13759
175,15746
46,11845
102,8707
332,2753
419,15998
412,10855
486,10804
474,9518
159,6245
191,4736
472,3443
396,15233
78,6027
430,10387
294,6554
79,12264
173,5217
178,10701
390,492
190,11987
413,15937
476,16222
165,3528
398,14087
28,4462
66,10581
465,7846
124,7553
186,1786
18,8554
66,5104
293,11647
314,3893
490,16133
230,12796
108,10820
15,13810
111,14272
261,2431
357,15496
307,11703
236,4589
401,1953
366,9543
471,5395
232,4884
286,9550
308,13510
1,13996
268,5709
44,12124
66,7453
2,12127
325,2200
94,12884
42,6049
46,12584
93,4028
164,10095
35,6009
356,10265
258,7515
58,4192
186,8807
401,4531
337,574
49,6065
324,1574
383,13229
300,13231
290,15172
244,9
90,3743
17,11078
390,12077
300,291
483,641
313,16445
46,9685
251,14520
421,6300
108,1639
54,13188
54,8987
472,4316
277,14657
107,11213
164,11518
54,15524
462,1763
324,6488
302,13788
137,1414
276,3973
47,8839
391,6434
103,4166
63,12203
476,1001
372,15173
312,14893
78,2123
313,11331
179,6901
290,15777
242,6432
469,8316
140,5108
120,1194
420,13914
313,12741
336,1613
391,3535
411,2201
323,8504
107,13804
468,15769
126,7401
52,5237
160,8971
58,6220
192,4759
6,3320
72,13702
411,8967
242,9949
372,13213
40,1857
461,14453
450,9834
343,15895
460,12279
197,7173
458,15616
451,8258
100,8445
26,14646
399,15157
175,16432
253,3025
325,4362
10,1052
310,11372
75,12000
338,8209
1,2171
422,14215
491,13820
173,6829
378,1047
138,8161
38,4547
24,4612
30,14714
231,11735
357,8464
251,15393
244,14414
311,13192
60,5208
428,3914
341,13071
459,15507
477,3281
437,6363
143,10346
194,2700
16,4091
330,13821
255,14172
224,14593
326,7407
9,11901
35,8655
358,2929
255,14293
285,11166
319,10521
4,11449
204,15415
142,3691
484,9053
448,4929
120,13960
151,4642
391,5563
368,3630
