Playlist_id,User_id,Name,Created_date,Is_public
1,416,My Favorites #1,2023-11-21,True
2,933,My Favorites #2,2026-02-03,False
3,720,Party Mix #3,2026-01-06,False
4,251,Party Mix #4,2026-08-20,True
5,622,Weekend Hits #5,2024-10-28,True
6,691,Party Mix #6,2024-01-27,True
7,180,Chill Vibes #7,2023-12-17,False
8,860,Workout Mix #8,2023-12-31,False
9,976,My Favorites #9,2025-07-17,False
10,508,Study Focus #10,2025-10-17,True
11,383,Chill Vibes #11,2026-04-01,False
12,936,Morning Energy #12,2024-08-13,True
13,298,Late Night #13,2023-11-09,False
14,301,Late Night #14,2024-01-04,True
15,3,Relaxing Songs #15,2024-10-05,False
16,223,Late Night #16,2026-01-04,True
17,958,Weekend Hits #17,2024-01-31,False
18,59,Road Trip #18,2024-02-20,True
19,631,Weekend Hits #19,2025-05-26,False
20,306,Road Trip #20,2023-09-28,True
21,6,Road Trip #21,2024-11-24,True
22,412,Road Trip #22,2026-02-26,True
23,104,Study Focus #23,2026-06-24,False
24,203,Chill Vibes #24,2026-03-17,True
25,421,Chill Vibes #25,2026-07-07,False
26,8,Workout Mix #26,2026-06-29,False
27,232,Weekend Hits #27,2024-01-18,False
28,384,Late Night #28,2023-10-20,False
29,439,Workout Mix #29,2023-11-24,False
30,112,Weekend Hits #30,2025-01-07,False
31,166,Workout Mix #31,2026-06-27,False
32,766,Study Focus #32,2024-05-19,True
33,368,Morning Energy #33,2023-11-11,True
34,195,Late Night #34,2024-05-02,True
35,137,Study Focus #35,2025-12-12,False
36,762,Road Trip #36,2026-01-31,True
37,165,Morning Energy #37,2025-06-21,False
38,983,Late Night #38,2025-06-20,True
39,432,Weekend Hits #39,2024-03-14,False
40,820,Workout Mix #40,2025-05-31,False
41,770,Study Focus #41,2026-01-04,False
42,135,Chill Vibes #42,2023-11-02,True
43,812,My Favorites #43,2024-01-02,True
44,160,Road Trip #44,2026-05-03,True
45,786,Morning Energy #45,2026-04-04,True
46,695,Road Trip #46,2023-11-12,False
47,1000,Relaxing Songs #47,2024-09-28,True
48,445,Weekend Hits #48,2024-12-08,False
49,289,Weekend Hits #49,2024-04-23,True
50,780,Study Focus #50,2024-03-19,True
51,633,Workout Mix #51,2024-07-19,True
52,256,Late Night #52,2024-10-16,True
53,885,Late Night #53,2025-10-30,True
54,683,Study Focus #54,2025-02-04,True
55,486,Chill Vibes #55,2024-12-24,True
