User_id,Offline_downloads,Audio_quality,Ad_free
655,500,Lossless,True
115,100,Lossless,True
26,50,Very High,True
760,200,High,True
282,100,Lossless,True
251,200,High,True
229,100,High,True
143,50,High,True
755,100,Very High,True
105,50,Very High,True
693,500,Lossless,True
759,100,Lossless,True
914,500,Very High,True
559,500,High,True
90,100,Lossless,True
605,50,High,True
433,500,High,True
33,100,Lossless,True
31,500,High,True
96,100,High,True
224,500,High,True
239,500,Lossless,True
518,200,Very High,True
617,500,Lossless,True
28,500,High,True
575,500,Very High,True
204,200,High,True
734,200,Lossless,True
666,500,Lossless,True
719,100,Very High,True
987,500,High,True
430,200,High,True
226,200,Very High,True
460,200,Lossless,True
604,50,High,True
285,100,High,True
829,500,Lossless,True
891,100,Lossless,True
7,100,High,True
778,500,Very High,True
826,200,Lossless,True
164,500,Very High,True
715,50,High,True
984,500,Very High,True
349,50,Lossless,True
965,500,Very High,True
160,50,Very High,True
221,200,Very High,True
782,500,Lossless,True
345,100,Very High,True
991,100,Very High,True
95,500,Very High,True
390,50,Very High,True
100,200,Lossless,True
368,500,Lossless,True
868,100,Very High,True
353,100,Lossless,True
619,50,Very High,True
271,50,High,True
827,500,High,True
45,500,High,True
748,50,Very High,True
471,500,Very High,True
550,100,Very High,True
128,200,Very High,True
388,500,Very High,True
81,500,Very High,True
566,50,Very High,True
301,50,Lossless,True
850,50,Very High,True
644,100,Lossless,True
634,50,Lossless,True
907,50,High,True
883,100,High,True
371,50,Lossless,True
592,100,High,True
197,100,Very High,True
722,50,Lossless,True
72,100,Very High,True
47,200,Very High,True
678,100,Lossless,True
234,50,High,True
792,200,High,True
297,50,Very High,True
82,500,Very High,True
876,100,High,True
979,100,High,True
888,200,Lossless,True
104,50,Lossless,True
948,50,Very High,True
955,500,Lossless,True
465,200,High,True
651,200,High,True
855,500,Very High,True
374,50,Very High,True
167,200,Lossless,True
380,500,Lossless,True
364,100,Very High,True
215,100,Lossless,True
687,200,Lossless,True
274,500,Very High,True
971,500,Lossless,True
700,200,Very High,True
664,100,High,True
74,200,Very High,True
624,100,Very High,True
908,500,Very High,True
176,50,Very High,True
547,200,High,True
747,500,High,True
995,200,Very High,True
168,200,Very High,True
474,200,Lossless,True
389,50,Lossless,True
277,100,High,True
656,100,Lossless,True
705,500,Very High,True
571,100,Lossless,True
225,500,Lossless,True
702,500,Very High,True
333,50,High,True
864,200,High,True
787,500,Lossless,True
795,100,Very High,True
58,200,Very High,True
235,200,Very High,True
842,200,Very High,True
983,500,Very High,True
825,200,Very High,True
324,100,High,True
411,100,Very High,True
275,50,Lossless,True
68,100,High,True
217,100,Lossless,True
581,500,Very High,True
736,200,High,True
323,100,Very High,True
218,100,Very High,True
672,100,Very High,True
512,50,Lossless,True
406,100,Very High,True
659,50,High,True
470,200,Lossless,True
147,100,Lossless,True
272,500,High,True
993,50,Lossless,True
253,200,Very High,True
763,500,Very High,True
975,200,High,True
552,50,Very High,True
270,500,High,True
765,50,Very High,True
599,500,High,True
439,50,High,True
598,100,Lossless,True
409,200,High,True
926,100,High,True
882,500,Lossless,True
142,100,Lossless,True
522,500,Very High,True
506,500,Very High,True
94,500,Very High,True
774,50,Lossless,True
49,50,High,True
113,100,Very High,True
157,50,High,True
643,100,High,True
959,50,High,True
812,50,Very High,True
697,500,Lossless,True
957,500,Very High,True
611,50,High,True
66,200,Lossless,True
395,200,Lossless,True
391,500,High,True
964,100,Very High,True
480,100,Very High,True
542,50,Lossless,True
258,100,Lossless,True
567,100,Very High,True
12,100,High,True
831,50,High,True
739,200,Lossless,True
118,200,Very High,True
699,50,Very High,True
937,200,Lossless,True
769,500,Very High,True
900,500,Very High,True
788,50,Lossless,True
657,50,Very High,True
956,200,Lossless,True
999,200,High,True
932,50,High,True
446,50,Lossless,True
162,200,Lossless,True
909,50,High,True
4,500,Lossless,True
740,500,Very High,True
737,100,Lossless,True
931,500,Lossless,True
513,500,High,True
781,500,Very High,True
183,500,Very High,True
520,200,Lossless,True
109,50,High,True
641,200,Very High,True
306,500,Very High,True
1000,500,Lossless,True
797,50,Very High,True
895,50,Very High,True
974,200,Very High,True
835,50,Very High,True
383,50,Lossless,True
799,500,Very High,True
166,50,High,True
553,200,Lossless,True
544,500,Lossless,True
1,500,High,True
614,100,Very High,True
332,100,Very High,True
501,500,Lossless,True
20,500,High,True
809,50,Lossless,True
372,100,Lossless,True
315,100,Very High,True
246,50,Lossless,True
60,500,High,True
247,100,High,True
866,500,High,True
934,100,Very High,True
88,200,Lossless,True
750,200,Very High,True
498,500,Very High,True
71,100,Very High,True
546,100,Very High,True
129,100,Lossless,True
132,100,High,True
676,200,Very High,True
487,200,Lossless,True
563,200,High,True
170,200,Lossless,True
856,200,Lossless,True
541,500,High,True
622,500,Lossless,True
434,500,Very High,True
867,200,Lossless,True
785,500,Very High,True
939,200,High,True
707,100,Lossless,True
206,500,High,True
731,500,High,True
320,200,Lossless,True
845,500,Lossless,True
688,500,Very High,True
972,100,Very High,True
832,50,High,True
449,200,High,True
530,500,High,True
463,500,High,True
124,100,Very High,True
254,100,High,True
231,500,Very High,True
828,200,Lossless,True
347,500,Lossless,True
22,50,Very High,True
603,500,Very High,True
568,500,Lossless,True
236,50,Lossless,True
735,50,High,True
968,200,High,True
8,50,Very High,True
73,50,Lossless,True
725,50,Very High,True
647,100,Lossless,True
61,200,High,True
875,50,Very High,True
70,50,Very High,True
873,200,Very High,True
339,500,High,True
729,100,Lossless,True
527,500,Lossless,True
244,100,High,True
286,100,High,True
686,500,Lossless,True
768,100,Very High,True
220,100,High,True
754,500,Lossless,True
136,200,Very High,True
585,200,Lossless,True
591,50,Very High,True
485,200,Lossless,True
249,100,High,True
710,500,Very High,True
417,200,Lossless,True
195,500,Lossless,True
97,200,Very High,True
947,200,High,True
675,500,Very High,True
442,50,High,True
363,500,Lossless,True
756,200,Lossless,True
421,200,Lossless,True
479,200,High,True
56,500,Very High,True
690,50,Lossless,True
670,50,Lossless,True
662,500,Very High,True
101,100,Lossless,True
63,200,High,True
413,100,Lossless,True
348,200,Lossless,True
112,100,Lossless,True
255,50,Lossless,True
924,50,Very High,True
706,500,High,True
815,200,Lossless,True
967,100,High,True
144,200,Very High,True
830,500,High,True
188,100,High,True
718,200,Lossless,True
913,200,High,True
256,200,Very High,True
78,200,Lossless,True
454,200,High,True
564,500,High,True
990,100,High,True
52,500,Lossless,True
668,200,High,True
554,500,High,True
16,200,Lossless,True
981,50,Very High,True
243,200,Lossless,True
171,200,Lossless,True
752,500,Lossless,True
716,200,High,True
493,100,Very High,True
219,50,Lossless,True
870,200,Lossless,True
726,100,Lossless,True
169,50,Lossless,True
887,500,Lossless,True
3,200,Lossless,True
400,500,High,True
989,100,High,True
466,50,Very High,True
293,500,High,True
898,50,High,True
570,100,Very High,True
499,500,Very High,True
159,500,Lossless,True
717,100,Very High,True
304,50,Very High,True
223,500,Very High,True
838,50,Lossless,True
594,200,High,True
556,500,Very High,True
692,100,Very High,True
322,50,Lossless,True
59,200,Lossless,True
673,200,High,True
848,500,Very High,True
489,100,High,True
515,500,High,True
784,100,Lossless,True
806,50,High,True
877,200,High,True
521,100,Lossless,True
83,100,High,True
191,100,Lossless,True
767,100,High,True
610,200,High,True
724,50,Very High,True
241,100,High,True
414,200,High,True
123,50,Lossless,True
584,50,High,True
854,50,Very High,True
593,100,Lossless,True
609,200,High,True
41,100,Very High,True
84,50,High,True
969,500,Lossless,True
846,50,Lossless,True
579,50,Very High,True
536,500,Very High,True
871,50,Very High,True
268,100,Lossless,True
210,50,Lossless,True
642,200,Very High,True
245,50,High,True
885,500,Very High,True
860,500,Lossless,True
135,50,Very High,True
308,500,High,True
469,50,Very High,True
952,100,High,True
75,100,Very High,True
10,200,Very High,True
858,200,Very High,True
577,500,High,True
103,50,Lossless,True
76,100,Very High,True
551,500,High,True
663,500,Very High,True
519,500,Very High,True
621,500,Lossless,True
713,50,Very High,True
358,500,Very High,True
630,200,Very High,True
890,100,Lossless,True
379,500,High,True
292,50,High,True
635,50,Very High,True
744,50,Lossless,True
557,200,High,True
310,50,Lossless,True
823,200,Lossless,True
9,50,Very High,True
973,200,Lossless,True
307,500,Lossless,True
107,50,Very High,True
138,200,Very High,True
942,50,Lossless,True
119,100,High,True
110,500,High,True
821,50,Very High,True
954,200,High,True
279,200,Lossless,True
289,100,Very High,True
216,50,Lossless,True
352,200,High,True
209,100,Very High,True
600,200,Very High,True
978,200,High,True
780,100,High,True
822,500,High,True
53,100,Lossless,True
949,50,High,True
653,100,Very High,True
284,500,Very High,True
46,200,High,True
804,200,Very High,True
342,200,Lossless,True
134,50,High,True
269,100,High,True
786,50,Lossless,True
453,50,Very High,True
438,500,Lossless,True
602,500,Very High,True
961,500,Very High,True
677,200,High,True
153,50,Very High,True
37,500,High,True
589,200,Lossless,True
152,500,Lossless,True
441,200,High,True
131,100,Very High,True
43,50,High,True
316,100,Very High,True
906,100,High,True
620,200,Very High,True
367,200,High,True
652,50,Very High,True
920,500,High,True
106,100,Very High,True
701,100,Lossless,True
746,200,High,True
650,500,Lossless,True
862,50,Very High,True
905,50,Very High,True
182,50,Very High,True
423,500,Lossless,True
998,500,Lossless,True
184,500,Very High,True
341,50,Very High,True
422,50,Very High,True
963,100,Lossless,True
813,500,Lossless,True
833,200,High,True
111,500,High,True
392,100,Very High,True
40,500,Lossless,True
482,50,Very High,True
228,200,Lossless,True
205,200,High,True
472,200,High,True
