Rating_id,User_id,Song_id,Rating,Review_text,Rated_at
1,529,7552,4,One of my favorites.,2025-05-03
2,611,14266,4,Good song.,2025-09-03
3,72,11248,5,Amazing song!,2026-05-05
4,894,5206,3,Amazing song!,2026-06-23
5,699,15547,3,Really love this track.,2025-10-03
6,393,7664,4,One of my favorites.,2026-07-10
7,388,1133,4,Great music.,2026-08-18
8,965,13488,2,One of my favorites.,2025-01-29
9,789,15477,3,Great music.,2025-05-19
10,533,733,4,Perfect!,2026-05-27
11,649,12693,5,Perfect!,2026-07-23
12,413,11928,1,One of my favorites.,2026-06-03
13,585,13203,2,One of my favorites.,2024-09-18
14,138,3358,5,Really love this track.,2025-10-28
15,284,11814,2,Worth listening to.,2025-04-18
16,939,10991,1,Perfect!,2026-02-17
17,53,281,1,Worth listening to.,2025-02-01
18,118,13996,5,Not bad.,2025-03-16
19,627,12153,2,Good song.,2026-04-11
20,752,12562,3,Perfect!,2024-12-29
21,883,7383,3,Great music.,2026-08-11
22,34,12282,1,Really love this track.,2025-03-24
23,755,8137,2,Perfect!,2025-01-24
24,529,14210,3,Not bad.,2025-02-23
25,402,8507,4,One of my favorites.,2025-05-03
26,221,9664,4,One of my favorites.,2025-10-13
27,490,4190,1,Really love this track.,2024-09-14
28,470,5938,3,Not bad.,2026-04-29
29,636,11074,2,One of my favorites.,2024-10-05
30,932,7689,1,Amazing song!,2025-04-11
31,591,7625,5,Worth listening to.,2024-11-12
32,272,16247,4,Great music.,2025-08-29
33,163,15028,2,Amazing song!,2026-03-16
34,798,9123,4,Good song.,2024-12-17
35,672,12690,5,Very catchy.,2025-05-08
36,446,12118,1,Amazing song!,2024-12-05
37,971,8556,2,Worth listening to.,2026-03-24
38,398,292,1,Worth listening to.,2025-05-26
39,91,9675,1,One of my favorites.,2025-06-03
40,183,10432,4,Very catchy.,2025-03-21
41,18,2222,5,Good song.,2026-07-21
42,482,6527,1,Amazing song!,2025-07-17
43,932,15394,1,Great music.,2025-12-21
44,435,6711,1,Worth listening to.,2024-12-03
45,798,384,2,Very catchy.,2025-05-23
46,973,1139,1,Very catchy.,2025-10-31
47,161,3210,1,Worth listening to.,2025-05-31
48,630,8613,1,Perfect!,2025-05-13
49,962,13287,1,Great music.,2025-09-02
50,799,3201,5,Very catchy.,2025-04-17
51,644,8282,4,Really love this track.,2026-06-29
52,638,5993,4,Worth listening to.,2025-12-09
53,698,10999,4,Worth listening to.,2026-09-01
54,227,4732,4,One of my favorites.,2024-10-03
55,309,4771,2,Really love this track.,2025-07-06
56,963,10250,3,Not bad.,2025-01-24
57,942,15560,5,Not bad.,2026-06-20
58,329,14808,4,Amazing song!,2025-10-03
59,914,11297,2,Great music.,2025-11-22
60,649,9565,1,Very catchy.,2026-06-01
61,676,13869,2,Very catchy.,2025-07-02
62,420,5541,4,Very catchy.,2024-09-22
63,948,7912,2,One of my favorites.,2025-01-14
64,180,12470,3,Very catchy.,2025-04-14
65,108,2502,2,Really love this track.,2025-01-16
66,696,11303,1,Nice track.,2025-06-24
67,810,1791,3,Really love this track.,2025-08-28
68,111,8169,1,Amazing song!,2024-10-28
69,200,15337,3,Nice track.,2025-03-15
70,166,5661,1,Really love this track.,2026-04-26
71,386,12080,1,Very catchy.,2025-02-23
72,961,1960,1,One of my favorites.,2025-03-02
73,754,8046,1,One of my favorites.,2026-02-03
74,965,14911,3,Good song.,2025-01-01
75,153,13535,3,Perfect!,2026-01-06
76,275,6062,5,Very catchy.,2026-05-21
77,856,13921,2,Amazing song!,2025-05-31
78,26,2877,4,Great music.,2026-02-17
79,851,15563,2,One of my favorites.,2025-12-20
80,791,11311,5,Good song.,2025-04-25
81,473,8521,4,Perfect!,2025-06-16
82,321,5949,2,Really love this track.,2025-01-29
83,94,5492,4,Nice track.,2026-09-04
84,623,14881,1,Worth listening to.,2025-03-02
85,105,11020,5,Worth listening to.,2026-07-01
86,652,13633,5,Worth listening to.,2024-11-14
87,675,5888,4,Worth listening to.,2025-05-19
88,709,13120,4,Perfect!,2026-01-21
89,843,1271,4,Perfect!,2025-11-02
90,810,9496,4,Good song.,2026-08-27
91,667,13877,1,One of my favorites.,2026-06-02
92,332,14301,5,Perfect!,2024-12-28
93,898,4361,4,Really love this track.,2025-10-24
94,586,10919,2,One of my favorites.,2025-07-08
95,703,3856,5,Worth listening to.,2025-03-05
96,686,4212,1,Worth listening to.,2024-10-16
97,309,1522,5,One of my favorites.,2025-04-16
98,384,7523,5,Perfect!,2024-09-26
99,782,1705,2,Amazing song!,2026-08-20
