Song_id,Genre_id
1,5
1,12
1,15
2,8
3,7
3,8
3,10
4,8
4,9
4,13
5,2
5,3
5,9
6,1
7,4
7,19
7,20
8,4
8,20
9,5
10,6
10,9
11,3
12,7
12,12
13,4
13,16
14,14
15,16
16,3
16,7
16,14
17,11
17,15
18,6
19,1
19,6
20,2
20,4
20,19
21,12
21,16
22,1
22,18
22,20
23,17
24,4
24,7
24,9
25,1
25,18
25,20
26,5
26,7
26,17
27,4
27,7
28,11
29,8
30,5
31,9
31,16
32,3
33,10
33,18
34,14
34,16
35,7
35,9
35,13
36,7
37,4
37,9
37,13
38,6
38,10
38,19
39,16
40,14
40,15
41,4
41,9
41,11
42,7
42,13
42,14
43,3
43,12
43,20
44,2
44,6
45,9
45,14
45,19
46,17
46,20
47,1
47,13
48,6
49,6
49,14
50,3
50,8
51,12
52,5
52,11
53,1
54,1
54,11
55,15
56,8
56,11
56,18
57,13
58,7
58,20
59,4
59,7
59,18
60,3
60,20
61,11
61,14
61,20
62,7
62,20
63,16
64,2
64,9
65,4
65,20
66,6
66,11
67,1
67,8
67,13
68,1
68,19
69,15
70,5
70,13
71,18
72,1
72,2
72,11
73,16
74,14
75,9
75,10
75,11
76,3
76,13
77,2
77,11
77,16
78,10
78,15
79,4
79,12
80,1
80,4
80,8
81,1
82,4
83,8
83,14
84,3
85,12
86,1
86,2
86,9
87,4
88,10
89,9
90,13
90,20
91,5
91,6
92,4
92,5
92,15
93,5
93,19
94,4
94,15
95,8
95,16
95,17
96,9
96,11
96,16
97,3
97,8
97,16
98,3
98,10
99,8
99,18
100,3
100,7
100,19
101,2
101,7
102,7
103,7
103,13
104,4
104,11
105,19
106,10
106,11
106,17
107,5
107,15
107,17
108,5
109,12
110,15
110,17
111,13
112,3
113,6
113,14
114,4
114,10
114,19
115,15
116,4
117,1
118,6
118,9
119,16
120,12
120,15
120,17
121,4
121,18
122,12
123,5
123,7
124,14
124,17
125,2
125,11
125,15
126,4
126,12
127,13
128,7
128,10
128,14
129,13
130,20
131,16
131,17
132,2
132,4
132,14
133,4
133,8
133,20
134,2
135,19
136,3
136,8
137,4
137,8
137,9
138,13
138,19
138,20
139,8
140,7
140,9
140,16
141,7
142,10
142,20
143,1
143,4
143,6
144,10
144,16
144,20
145,6
145,8
145,11
146,3
146,6
146,19
147,5
147,15
148,16
149,1
149,11
150,9
151,6
152,1
152,12
152,16
153,1
153,8
153,16
154,2
154,4
155,19
156,8
156,10
156,17
157,4
157,5
157,6
158,10
159,11
159,15
159,16
160,9
160,12
160,18
161,9
161,12
161,16
162,1
162,12
163,11
163,17
164,4
164,16
164,20
165,1
165,17
166,14
167,5
168,1
168,16
169,19
170,7
170,12
170,14
171,3
171,7
171,13
172,4
172,9
172,18
173,6
173,17
174,11
174,12
175,14
175,19
176,7
176,10
177,19
178,4
178,11
178,14
179,12
179,19
180,1
180,4
181,5
181,15
182,5
182,10
182,17
183,6
183,10
183,18
184,3
184,10
185,1
185,15
186,7
187,4
187,19
188,16
189,1
189,14
190,1
190,2
191,5
191,12
192,17
192,18
193,3
194,5
194,7
194,9
195,3
195,19
196,2
196,8
197,8
197,12
198,13
198,14
198,20
199,9
200,10
200,20
201,19
202,11
202,19
203,7
204,5
204,14
205,7
205,10
205,19
206,10
207,6
207,15
207,18
208,4
208,14
209,17
210,11
210,17
211,12
211,15
211,20
212,14
212,15
213,1
213,15
214,1
214,3
214,14
215,20
216,8
216,19
217,5
217,12
217,18
218,2
218,10
218,13
219,13
220,1
220,15
220,17
221,2
221,3
222,9
223,4
223,11
223,20
224,16
224,19
225,2
225,4
225,11
226,2
226,17
226,19
227,5
227,7
227,17
228,5
228,8
228,16
229,5
229,10
229,19
230,1
