song_id,album_id,title,duration,spotify_track_uri
1,1,Driving,34319,5rMjILtZd0AnWpr774Ddbv
2,2,"Merry Christmas, Happy Holidays",255306,15coTBAzEN1bOeipoNDZAR
3,3,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,200389,62bOmKYxYg7dhrC6gH9vFn
4,4,Coastal Walks,82894,5I9cUsP08mVoll09AgkenG
5,5,Guilty Conscience - Tame Impala Remix,214971,5i5fCpsnqDJ9AfeObgd0gW
6,6,Let the Mystery Be,188200,66Ahq0KmYil8OCiEOkndyr
7,7,Dance With Me (feat. Beanie Sigel) - Remix,295226,06EmqZJolHpHSwNKLHVmqB
8,8,beatmewithaflower,130172,2FqUMAJ0SNfKwQ34CLaKXu
9,9,Fatal Line,181933,60TzCPjii0JKAQtQTENYpn
10,10,Foodstamps,387595,7zL6Co353zOAGrFHKGtJg3
11,11,They Don't Care About Us,39278,6Fkj6ymotXQx2SdcMg387v
12,12,All Eyez On Me,2459,2xTft6GEZeTyWNpdX94rkf
13,12,Ambitionz Az A Ridah,34733,3ssX20QT5c3nA9wk78V1LQ
14,13,California Love - Original Version,284906,3ia3dJETSOllPsv3LJkE35
15,14,Here Without You,238733,3NLrRZoMF0Lx6zTlYqeIo4
16,15,Kryptonite,233934,6ZOBP3NvffbU4SZcrnt1k6
17,16,Dancing in My Room,20533,6Pgmqg15yVexuOgtzuxwoX
18,17,What's Up?,295534,0jWgAnTrNZmOGmqgvHhZEm
19,18,Tales Of Love - Glen Check Remix,305188,7CH8HDlIPu8SDylCYEwhJP
20,19,Down on My Knees,254400,3k7nZq0SAEMyfRiBNEHS87
21,20,Amnesia,237248,1JCCdiru7fhstOIF4N7WJC
22,20,She Looks So Perfect,202497,1gugDOSMREb34Xo0c1PlxM
23,21,Amnesia,2043,3gQ3oX6c4QY7Gb5nN0gDR1
24,22,She's Kinda Hot,27074,56nMXANwYgYPBqGX9uEH2M
25,23,What I Like About You - Live,7214,4SRYZ2AmGf5uiMgF6t8vWk
26,24,Youngblood,203418,55S2PQgSMYAhgoTCcGCDfw
27,25,Get Low - Remastered,251338,3IBL9Hc2yPCswdu3tkj0Pr
28,26,Blood Hound,1613,11hW1pk42xj0koCUJf9Xnj
29,26,Heat,1541,1b4oehAiKqRh5uDMNJfz60
30,26,High All The Time,6646,4Jp4T5gbCLQzGz545Jb3NY
31,26,If I Can't,398,6mcu7D7QuABVwUGDwovOEh
32,26,In Da Club,193466,7iL6o9tox1zgHpKUfh9vuC
33,26,Intro,6466,2pjbf0b1yioklKVpjDKJwb
34,26,Many Men (Wish Death),9544,5STdMlrBf6pqWiNE7WqxSi
35,26,P.I.M.P.,36840,3G0yz3DZn3lfraledmBCT0
36,26,P.I.M.P. - Snoop Dogg Remix,288573,0fLILzjVXRCLC0lsNKcQ8I
37,26,Patiently Waiting,76198,6C781pluv3BPxGHHCUJNYc
38,26,Wanksta,60953,2eXlwgFPe6HgFaPJO8xQHK
39,26,What Up Gangsta,147216,59q0gDvWPoL2DQ1SAt5ZLY
40,27,Just A Lil Bit,237706,68IM0wOuxlrbwk0zgmi9dk
41,28,BEBE,217804,6mKs2kkBgvf090H566n1pd
42,29,"I'm Made of Wax, Larry, What Are You Made Of? - Live In Switzerland",1532,3Ys8neJWuQ0o4H5yjB9rEN
43,30,Say Something,1859,2fPb58e6f8KxejYDCaARwS
44,31,Oceans Away,29549,4NJpJ17Dgm5r4OYExFbxLk
45,32,Can I Kick It?,251573,3Ti0GdlrotgwsAVBBugv0I
46,33,Buggin' Out,31214,6GAemDMWAXa8wZOBkO1gar
47,33,Check the Rhime,38374,4HfxDJ0uLHTLe0fZrx0MbQ
48,33,Excursions,234626,4tEaytMs86hIaOSsiGoLcP
49,34,Sundress,158205,2aPTvyE09vUCRwVvj0I8WK
50,35,Parece Que Va A Llover,239800,2k0didRsUBSTWlFEnqwTM4
51,36,Ay Amor,31618,55bXx0rm7tdogRIdwz6hJd
52,37,Mi Gente,264653,6Gg8SiBCofH0VQNcSGCxic
53,37,Na Na Na (Dulce Niña),207541,6tb7r9qcLBuguz2nG6fpBu
54,38,Chiquilla,210306,4RcN7qGRs4OfbI8cHmqQiL
55,39,Azúcar,5494,7HDx40Db22h3BnoTE5eRmA
56,39,Boom Boom,20307,5GwMRNpW730I9jHq1gXlqf
57,39,Desde Que No Estás Aquí,9420,0r6XPRVd532GeRg0adC8DH
58,39,Te Quiero A Tí,1210,5xcNoBhwW5AuyduEr2KENt
59,40,Chiquilla,201080,4s35Piycz9wZ4xK7ROs0jK
60,40,Na Na Na (Dulce Niña),207693,3o3eHNNF5HDU3I0Jg25SGD
61,41,Sshh!!,230000,5OFJfkEWxIwCq2Vq1gzN6G
62,42,"I Do, I Do, I Do, I Do, I Do",195280,0x5BKBAcia1th7UzcoHnD1
63,42,I've Been Waiting For You,1120,0XKta2wRdEx9dDCxPYhd7S
64,42,Mamma Mia,77000,22NN4BS1AlqVbyKIWExgON
65,42,Mamma Mia,213266,2TxCwUlqaOH3TIyJqGgR91
66,42,SOS,202386,6yZv0Nl6BXABbXoPVpfF5y
67,43,Dancing Queen,230400,0GjEhVFGZW8afUYGChu3Rr
68,43,Fernando,252960,4BM8yJ0PzBi2ZewpMTOxtx
69,43,"Knowing Me, Knowing You",11350,46ou4l4zvrZMada0TgoVH9
70,43,"Knowing Me, Knowing You",241920,798cuJeotvXP8UVa8GJPnD
71,43,"Money, Money, Money",186426,3lKN03PDeBnXZS7sDukRBt
72,43,"My Love, My Life",7950,37PnQPuaQPIGrL5cXb2MeG
73,43,When I Kissed The Teacher,181133,6zk4lFEYIWs1UZZ03NVetT
74,43,Why Did It Have To Be Me?,374046,65EhfozJEurgR34SyrNV3P
75,44,Mamma Mia - Spanish Version,2253,4CF2s4PZJZlRfiOB7NY90J
76,45,Don't Shut Me Down,1640,2AHnmlkyZbnxqSA66B7jK3
77,46,Ring Ring - English Version,184733,5fmvZgUFuUq1SnzT3S6y4o
78,47,"Andante, Andante",278213,1JnHZagDFvrT2lx4QovSOo
