Subscription_id,User_id,Plan_type,Start_date,End_date
1,655,Quarterly,2025-05-16,2025-08-14
2,115,Quarterly,2024-09-19,2025-03-18
3,26,Monthly,2024-11-16,2025-05-15
4,760,Monthly,2024-06-08,2025-06-08
5,282,Quarterly,2023-10-31,2024-01-29
6,251,Monthly,2024-04-07,2024-10-04
7,229,Annual,2024-03-28,2025-03-28
8,143,Annual,2024-04-06,2025-04-06
9,755,Annual,2026-08-03,2027-01-30
10,105,Monthly,2024-08-19,2024-09-18
11,693,Quarterly,2024-11-02,2024-12-02
12,759,Quarterly,2026-04-22,2026-10-19
13,914,Monthly,2026-03-14,2026-09-10
14,559,Annual,2026-01-04,2026-04-04
15,90,Annual,2023-11-12,2024-11-11
16,605,Monthly,2024-01-02,2024-02-01
17,433,Monthly,2024-08-01,2024-08-31
18,33,Quarterly,2025-07-22,2026-01-18
19,31,Monthly,2025-06-30,2026-06-30
20,96,Quarterly,2026-01-19,2026-04-19
21,224,Monthly,2024-08-19,2025-02-15
22,239,Annual,2025-06-26,2026-06-26
23,518,Annual,2025-10-09,2026-04-07
24,617,Annual,2025-03-21,2025-09-17
25,28,Annual,2026-04-27,2027-04-27
26,575,Quarterly,2023-10-07,2024-04-04
27,204,Quarterly,2024-02-04,2024-03-05
28,734,Annual,2025-09-17,2026-03-16
29,666,Quarterly,2025-08-14,2025-09-13
30,719,Annual,2026-04-23,2026-10-20
31,987,Annual,2024-01-02,2024-02-01
32,430,Quarterly,2025-02-01,2026-02-01
33,226,Annual,2024-05-01,2024-07-30
34,460,Annual,2026-05-26,2026-06-25
35,604,Monthly,2024-12-27,2025-12-27
36,285,Monthly,2024-11-13,2025-11-13
37,829,Monthly,2025-05-30,2025-08-28
38,891,Monthly,2024-03-16,2024-04-15
39,7,Quarterly,2024-11-11,2024-12-11
40,778,Quarterly,2024-12-11,2025-06-09
41,826,Quarterly,2023-10-23,2024-01-21
42,164,Quarterly,2026-04-27,2026-07-26
43,715,Annual,2024-05-24,2025-05-24
44,984,Annual,2024-08-05,2024-09-04
45,349,Annual,2024-09-27,2024-12-26
46,965,Annual,2025-03-09,2025-06-07
47,160,Annual,2023-12-18,2024-06-15
48,221,Annual,2025-08-23,2026-08-23
49,782,Quarterly,2024-12-27,2025-12-27
50,345,Quarterly,2025-05-18,2025-08-16
51,991,Annual,2025-03-25,2025-09-21
52,95,Annual,2025-07-17,2026-01-13
53,390,Annual,2025-01-01,2025-06-30
54,100,Monthly,2024-04-16,2025-04-16
55,368,Quarterly,2025-04-19,2025-07-18
56,868,Monthly,2023-12-02,2024-05-30
57,353,Quarterly,2024-02-29,2024-08-27
58,619,Annual,2026-01-12,2026-04-12
59,271,Quarterly,2025-04-30,2026-04-30
60,827,Quarterly,2024-09-28,2025-09-28
61,45,Quarterly,2025-10-11,2026-04-09
62,748,Annual,2024-03-29,2024-04-28
63,471,Quarterly,2025-04-23,2026-04-23
64,550,Monthly,2024-08-15,2025-02-11
65,128,Monthly,2023-12-24,2024-06-21
66,388,Annual,2026-02-09,2026-08-08
67,81,Quarterly,2026-03-08,2026-04-07
68,566,Annual,2025-03-19,2026-03-19
69,301,Annual,2026-06-06,2026-12-03
70,850,Monthly,2025-04-26,2026-04-26
71,644,Annual,2026-04-20,2026-07-19
72,634,Annual,2026-05-23,2026-11-19
73,907,Monthly,2025-02-13,2025-08-12
74,883,Annual,2025-03-18,2025-04-17
75,371,Monthly,2026-03-05,2026-06-03
76,592,Annual,2024-05-14,2024-06-13
77,197,Annual,2026-06-01,2026-08-30
78,722,Monthly,2024-06-21,2024-09-19
79,72,Quarterly,2025-10-05,2025-11-04
80,47,Annual,2026-08-11,2027-02-07
81,678,Monthly,2025-07-24,2026-07-24
82,234,Monthly,2025-04-17,2025-07-16
83,792,Quarterly,2024-10-24,2025-01-22
84,297,Quarterly,2024-02-02,2025-02-01
85,82,Quarterly,2024-12-18,2025-03-18
86,876,Quarterly,2026-04-13,2026-10-10
87,979,Monthly,2023-11-20,2023-12-20
88,888,Annual,2023-10-22,2024-01-20
89,104,Monthly,2024-08-13,2024-09-12
90,948,Monthly,2026-01-09,2027-01-09
91,955,Quarterly,2025-01-26,2025-02-25
92,465,Monthly,2023-09-15,2024-09-14
93,651,Monthly,2024-06-15,2024-12-12
94,855,Quarterly,2025-02-12,2025-03-14
95,374,Quarterly,2025-02-26,2025-03-28
96,167,Quarterly,2023-12-19,2024-06-16
97,380,Monthly,2024-07-31,2025-07-31
98,364,Quarterly,2024-11-06,2025-11-06
99,215,Monthly,2024-12-03,2025-03-03
100,687,Monthly,2026-08-08,2027-02-04
101,274,Annual,2024-10-13,2025-10-13
102,971,Annual,2026-01-12,2026-07-11
103,700,Monthly,2025-05-24,2025-08-22
104,664,Quarterly,2025-09-28,2026-03-27
105,74,Monthly,2024-04-17,2024-07-16
106,624,Quarterly,2024-06-18,2025-06-18
107,908,Monthly,2025-12-18,2026-06-16
108,176,Annual,2025-12-22,2026-12-22
109,547,Monthly,2024-09-01,2024-10-01
110,747,Quarterly,2026-02-17,2026-05-18
111,995,Monthly,2023-09-13,2024-03-11
112,168,Quarterly,2024-12-22,2025-01-21
113,474,Monthly,2025-09-09,2026-09-09
114,389,Quarterly,2024-09-20,2025-09-20
115,277,Quarterly,2024-09-08,2025-03-07
116,656,Quarterly,2023-12-23,2024-01-22
117,705,Annual,2024-10-08,2025-04-06
118,571,Monthly,2025-03-26,2025-06-24
119,225,Quarterly,2024-11-13,2024-12-13
120,702,Monthly,2025-04-21,2025-10-18
121,333,Annual,2024-01-20,2025-01-19
122,864,Annual,2025-04-14,2025-10-11
123,787,Annual,2025-09-30,2025-10-30
124,795,Quarterly,2024-12-09,2025-06-07
125,58,Monthly,2026-03-01,2026-05-30
126,235,Quarterly,2024-07-15,2024-10-13
127,842,Quarterly,2024-04-30,2024-07-29
128,983,Quarterly,2025-03-20,2025-09-16
129,825,Annual,2024-02-03,2025-02-02
130,324,Monthly,2024-03-07,2024-06-05
